"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"5969",20181000194100,0,70,1,0,0,0,0,0,1,1,0,1,749.6089
"5970",20181000196300,8,180,1,2,0,2,0,0,1,0,0,1,856.1132
"5971",20181000200300,0,110,1,0,0,0,0,0,0,1,0,0,640.8333
"5972",20181000202600,NA,NA,5,2,2,0,0,0,1,2,2,0,2430.1415
"5973",20181000202900,1,80,2.5,3,0,1,0,0,2,1,0,1,1733.6868
"5974",20181000203800,NA,NA,2,1,0,1,0,0,0,0,2,0,939.67
"5975",20181000205100,0,133.333333333333,3,1,1,0,0,0,2,2,0,0,1572.2013
"5976",20181000207200,0,0,1,1,0,0,0,0,1,1,0,1,526.0089
"5977",20181000207500,0,23.3333333333333,3,1,0,0,0,0,3,2,2,0,1482.0648
"5978",20181000208400,4,60,1,0,0,0,1,0,0,1,0,0,2015.5984
"5979",20181000210200,0,55,2,1,0,2,0,0,2,1,2,0,874.4504
"5980",20181000213700,0,80,1,0,0,0,0,0,0,1,0,0,478.3957
"5981",20181000215000,NA,NA,3,1,0,0,0,3,0,0,2,0,1587.7137
"5982",20181000216200,NA,NA,1,1,0,0,0,0,1,1,0,1,476.5446
"5983",20181000220400,0,25,2,1,0,2,0,0,0,0,2,0,879.0142
"5984",20181000224900,0,0,1,1,0,1,0,0,0,0,0,1,489.6647
"5985",20181000226100,0,0,4,2,2,0,0,0,2,2,2,0,1840.4384
"5986",20181000227500,0,300,2,1,0,1,0,0,2,0,2,0,939.67
"5987",20181000229800,0,0,1,0,0,1,0,0,1,0,0,0,477.5051
"5988",20181000230000,0,50,2,1,0,0,0,0,1,2,0,0,1068.5528
"5989",20181000231300,0,0,5,3,3,0,0,0,0,2,2,0,2382.723
"5990",20181000232000,9,250,2,1,0,0,0,0,0,2,2,0,988.0432
"5991",20181000234100,0,0,3,1,0,0,0,0,0,1,2,1,1667.7462
"5992",20181000234300,0,55,2,1,0,0,0,0,2,2,2,0,992.8772
"5993",20181000237500,0,85,4,3,1,0,4,0,2,3,1,0,12849.8092
"5994",20181000240200,0,50,1,1,0,0,0,0,1,1,0,1,3281.8332
"5995",20181000240600,NA,NA,2,1,0,2,0,0,2,2,2,0,6104.2654
"5996",20181000240800,NA,NA,1,0,0,1,0,0,0,0,0,0,3821.2218
"5997",20181000241200,0,90,1,0,0,1,0,1,0,0,0,0,4100.6352
